年,月,日,気圧,降水量,平均気温,最高気温,最低気温,平均湿度,最小湿度,平均風速,最大風速（風速）,最大風速（風向）,日照時間
1973,1,1,1018.3,22.0,5.5,8.5,2.0,89.0,74.0,2.3,4.7,西,0.0
1973,1,2,1009.9,0.0,7.5,13.1,3.6,76.0,39.0,3.0,8.5,西,5.0
1973,1,3,1022.1,0.5,2.8,8.4,-0.4,68.0,34.0,2.5,6.3,西,8.8
1973,1,4,1030.9,0.0,4.4,12.6,-1.4,71.0,38.0,2.3,6.7,西南西,6.9
1973,1,5,1032.4,0.0,5.7,10.3,0.8,71.0,54.0,1.6,3.2,西南西,0.0
1973,1,6,1029.5,0.0,8.2,15.8,2.4,63.0,31.0,1.6,3.5,南,8.7
1973,1,7,1012.2,19.5,10.8,15.2,7.0,89.0,68.0,2.9,6.2,西南西,0.0
1973,1,8,1012.8,0.0,9.7,15.0,5.4,67.0,41.0,2.5,6.7,西北西,8.7
1973,1,9,1020.4,0.0,6.6,14.4,1.0,72.0,42.0,1.9,4.2,南,8.7
1973,1,10,1019.2,0.0,6.5,13.6,1.3,70.0,36.0,2.7,6.8,西,5.1
1973,1,11,1022.1,0.0,6.1,9.5,3.5,48.0,31.0,2.3,7.2,西北西,6.2
1973,1,12,1024.8,0.0,4.3,9.3,0.6,57.0,31.0,2.3,6.8,北北西,8.0
1973,1,13,1024.9,0.0,4.1,12.0,-1.4,62.0,31.0,2.1,6.2,北北東,5.4
1973,1,14,1023.3,1.0,6.7,12.4,-0.1,68.0,35.0,1.9,3.7,西南西,2.7
1973,1,15,1017.5,7.5,8.1,10.8,6.2,76.0,43.0,1.6,4.0,北,0.0
1973,1,16,1021.3,0.0,8.7,14.2,2.6,56.0,25.0,2.0,4.2,西,2.5
1973,1,17,1015.9,20.5,9.7,11.2,7.4,92.0,66.0,2.0,4.0,西,0.0
1973,1,18,1005.4,7.5,13.5,18.5,11.1,80.0,49.0,2.1,4.5,北西,1.2
1973,1,19,1015.1,0.0,9.5,16.8,4.8,65.0,27.0,1.9,5.8,北東,9.4
1973,1,20,1020.9,0.0,6.9,14.8,1.3,65.0,30.0,1.6,4.5,西,8.0
1973,1,21,1023.7,0.0,7.5,14.7,0.6,69.0,42.0,1.9,4.0,南南東,8.2
1973,1,22,1023.4,0.5,9.2,12.7,6.0,72.0,45.0,1.4,4.0,西北西,1.9
1973,1,23,1024.0,0.0,11.4,16.7,4.9,72.0,47.0,1.2,3.3,南南東,4.5
1973,1,24,1011.3,55.0,14.0,17.1,11.0,94.0,75.0,2.1,6.0,南東,0.0
1973,1,25,1007.7,0.0,11.1,14.8,6.5,64.0,42.0,2.7,7.5,北北西,8.2
1973,1,26,1014.1,0.0,6.7,10.5,3.0,69.0,45.0,1.7,5.5,東北東,4.0
1973,1,27,1019.8,0.0,4.8,9.7,0.4,66.0,37.0,1.9,5.5,北北東,6.1
1973,1,28,1026.6,0.0,5.2,9.1,1.8,53.0,33.0,2.6,6.2,北東,9.3
1973,1,29,1025.0,0.0,5.5,13.2,-1.5,61.0,30.0,2.3,5.8,西北西,8.6
1973,1,30,1025.1,0.0,6.2,14.1,0.2,61.0,34.0,1.5,3.5,東南東,9.6
1973,1,31,1025.1,0.0,7.3,15.6,0.3,65.0,36.0,2.0,4.8,南,9.3
1973,2,1,1021.4,0.0,8.0,16.5,0.4,59.0,25.0,2.2,4.3,東北東,9.2
1973,2,2,1027.2,0.0,7.2,13.2,1.8,56.0,31.0,2.6,8.8,北東,9.1
1973,2,3,1025.1,3.5,9.0,14.6,4.4,70.0,53.0,1.3,3.0,南南東,3.6
1973,2,4,1019.7,10.5,11.6,14.7,9.3,90.0,78.0,1.3,2.5,西,0.0
1973,2,5,1018.6,0.5,13.8,18.6,10.9,84.0,61.0,1.3,3.2,南南東,3.5
1973,2,6,1012.9,0.0,11.8,18.6,5.5,69.0,37.0,1.7,6.2,東北東,5.3
1973,2,7,1019.9,0.0,5.7,11.3,1.4,44.0,22.0,2.4,5.8,北北東,10.0
1973,2,8,1025.4,0.0,4.1,9.7,0.0,50.0,29.0,2.0,5.7,西北西,7.4
1973,2,9,1025.4,0.0,3.6,11.7,-2.5,53.0,21.0,2.2,7.2,西北西,9.9
1973,2,10,1025.1,0.0,5.1,10.5,-1.2,58.0,34.0,1.5,3.5,西,4.6
1973,2,11,1018.9,1.5,7.2,11.4,4.1,72.0,56.0,1.3,3.2,西南西,2.0
1973,2,12,1021.5,0.0,6.6,13.9,1.3,57.0,31.0,2.0,4.8,北,8.5
1973,2,13,1023.0,0.0,6.8,13.9,-0.2,67.0,41.0,1.7,3.7,南南東,9.7
1973,2,14,1018.0,0.0,9.9,15.0,5.5,56.0,31.0,2.5,7.3,西南西,7.5
1973,2,15,1023.6,0.0,9.0,16.5,1.3,65.0,39.0,2.0,5.2,南南東,9.1
1973,2,16,1025.0,0.0,10.4,18.2,3.9,71.0,34.0,1.6,4.7,南南東,9.8
1973,2,17,1021.7,6.5,10.0,11.8,6.1,86.0,71.0,2.2,5.2,西,0.0
1973,2,18,1013.8,2.0,14.5,18.2,11.2,89.0,70.0,1.5,4.5,西,0.2
1973,2,19,1010.0,9.0,13.6,14.4,13.0,96.0,87.0,1.2,3.0,西,0.0
1973,2,20,1008.4,3.5,10.9,16.6,5.4,70.0,34.0,2.4,9.3,西北西,4.8
1973,2,21,1020.9,0.0,7.7,14.1,1.2,64.0,37.0,1.7,5.3,南南東,10.2
